-182.174, 78.411, 1.607,  1.765
-182.156, 78.359, 1.608,  1.798
-182.138, 78.307, 1.619,  1.831
-182.122, 78.253, 1.635,  1.864
-182.105, 78.199, 1.656,  1.897
-182.089, 78.143, 1.680,  1.930
-182.074, 78.087, 1.705,  1.963
-182.059, 78.029, 1.729,  1.996
-182.043, 77.971, 1.748,  2.029
-182.029, 77.913, 1.763,  2.062
-182.014, 77.854, 1.774,  2.095
-182.000, 77.794, 1.784,  2.128
-181.986, 77.735, 1.790,  2.161
-181.973, 77.675, 1.794,  2.194
-181.959, 77.615, 1.797,  2.227
-181.946, 77.555, 1.798,  2.260
-181.934, 77.495, 1.799,  2.293
-181.921, 77.435, 1.800,  2.326
-181.909, 77.375, 1.801,  2.359
-181.897, 77.315, 1.803,  2.392
-181.886, 77.255, 1.806,  2.425
-181.875, 77.195, 1.809,  2.458
-181.863, 77.134, 1.814,  2.491
-181.852, 77.074, 1.819,  2.524
-181.842, 77.013, 1.826,  2.557
-181.831, 76.952, 1.832,  2.590
-181.821, 76.890, 1.840,  2.623
-181.811, 76.829, 1.847,  2.656
-181.801, 76.767, 1.854,  2.689
-181.791, 76.705, 1.862,  2.722
-181.781, 76.643, 1.868,  2.755
-181.772, 76.580, 1.876,  2.788
-181.763, 76.518, 1.882,  2.821
-181.753, 76.455, 1.889,  2.854
-181.745, 76.392, 1.895,  2.887
-181.736, 76.328, 1.899,  2.920
-181.727, 76.265, 1.904,  2.953
-181.719, 76.201, 1.909,  2.986
-181.711, 76.138, 1.914,  3.019
-181.703, 76.074, 1.920,  3.052
-181.695, 76.010, 1.925,  3.085
-181.687, 75.945, 1.932,  3.118
-181.680, 75.881, 1.938,  3.151
-181.672, 75.816, 1.945,  3.184
-181.665, 75.751, 1.952,  3.217
-181.658, 75.686, 1.959,  3.250
-181.651, 75.620, 1.966,  3.283
-181.644, 75.555, 1.972,  3.316
-181.637, 75.489, 1.980,  3.349
-181.631, 75.423, 1.987,  3.382
-181.624, 75.356, 1.993,  3.415
-181.618, 75.290, 1.999,  3.448
-181.612, 75.223, 2.006,  3.481
-181.606, 75.156, 2.013,  3.514
-181.600, 75.089, 2.020,  3.547
-181.594, 75.021, 2.026,  3.580
-181.589, 74.954, 2.032,  3.613
-181.583, 74.886, 2.038,  3.646
-181.578, 74.818, 2.045,  3.679
-181.573, 74.749, 2.051,  3.712
-181.568, 74.681, 2.058,  3.745
-181.563, 74.612, 2.065,  3.778
-181.558, 74.543, 2.072,  3.811
-181.553, 74.474, 2.079,  3.844
-181.548, 74.404, 2.085,  3.877
-181.544, 74.335, 2.092,  3.910
-181.539, 74.265, 2.099,  3.943
-181.535, 74.195, 2.106,  3.976
-181.531, 74.124, 2.113,  4.009
-181.527, 74.054, 2.120,  4.042
-181.522, 73.983, 2.127,  4.075
-181.518, 73.912, 2.135,  4.108
-181.514, 73.840, 2.141,  4.141
-181.510, 73.769, 2.148,  4.174
-181.507, 73.697, 2.155,  4.207
-181.503, 73.625, 2.162,  4.240
-181.500, 73.553, 2.169,  4.273
-181.496, 73.480, 2.176,  4.306
-181.493, 73.408, 2.183,  4.339
-181.490, 73.335, 2.190,  4.372
-181.486, 73.261, 2.198,  4.405
-181.483, 73.188, 2.205,  4.438
-181.480, 73.114, 2.212,  4.471
-181.477, 73.040, 2.219,  4.504
-181.474, 72.966, 2.227,  4.537
-181.471, 72.892, 2.234,  4.570
-181.468, 72.817, 2.242,  4.603
-181.466, 72.742, 2.249,  4.636
-181.463, 72.667, 2.256,  4.669
-181.461, 72.592, 2.264,  4.702
-181.458, 72.516, 2.272,  4.735
-181.455, 72.440, 2.279,  4.768
-181.453, 72.364, 2.285,  4.801
-181.451, 72.288, 2.293,  4.834
-181.448, 72.211, 2.301,  4.867
-181.446, 72.134, 2.308,  4.900
-181.444, 72.057, 2.315,  4.933
-181.442, 71.980, 2.324,  4.966
-181.440, 71.902, 2.331,  4.999
-181.438, 71.824, 2.339,  5.032
-181.436, 71.746, 2.346,  5.065
-181.434, 71.667, 2.354,  5.098
-181.432, 71.589, 2.362,  5.131
-181.430, 71.510, 2.369,  5.164
-181.429, 71.431, 2.377,  5.197
-181.427, 71.351, 2.385,  5.230
-181.425, 71.271, 2.393,  5.263
-181.424, 71.192, 2.401,  5.296
-181.422, 71.111, 2.409,  5.329
-181.421, 71.031, 2.417,  5.362
-181.419, 70.950, 2.424,  5.395
-181.418, 70.869, 2.433,  5.428
-181.416, 70.788, 2.441,  5.461
-181.415, 70.706, 2.449,  5.494
